Reference:  277 apertures in PRDOPSSOC-045-003 (index 0 in table below)
Comparison: 277 apertures in pre_delivery (index 1 in table below)

             AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
       MIRIM_FULL_OSS ,      0.003342 ,      0.016350 ,      0.004194 ,      0.009979 ,           0.000853 ,          -0.006371
           MIRIM_FULL ,      0.003342 ,      0.016350 ,      0.004194 ,      0.009979 ,           0.000853 ,          -0.006371
          MIRIM_ILLUM ,      0.003274 ,      0.018898 ,      0.001382 ,      0.005935 ,          -0.001892 ,          -0.012963
      MIRIM_BRIGHTSKY ,      0.002564 ,      0.019782 ,      0.000735 ,      0.005507 ,          -0.001829 ,          -0.014274
         MIRIM_SUB256 ,      0.000802 ,      0.008846 ,      0.000555 ,      0.003162 ,          -0.000247 ,          -0.005684
         MIRIM_SUB128 ,      0.001430 ,      0.001787 ,      0.002317 ,      0.002719 ,           0.000886 ,           0.000932
          MIRIM_SUB64 ,      0.000396 ,      0.002231 ,      0.000180 ,      0.001400 ,          -0.000216 ,          -0.000831
  MIRIM_SLITLESSPRISM ,      0.003370 ,      0.012075 ,      0.005781 ,      0.019794 ,           0.002410 ,           0.007719
  MIRIM_SLITLESSUPPER ,      0.000415 ,      0.004919 ,      0.000147 ,      0.003429 ,          -0.000268 ,          -0.001491
  MIRIM_SLITLESSLOWER ,      0.003443 ,      0.011971 ,      0.005926 ,      0.019910 ,           0.002483 ,           0.007939
       MIRIM_MASK1065 ,      0.001976 ,      0.011616 ,      0.009047 ,      0.015939 ,           0.007071 ,           0.004324
       MIRIM_MASK1140 ,      0.001340 ,      0.008351 ,      0.006676 ,      0.008478 ,           0.005335 ,           0.000128
       MIRIM_MASK1550 ,      0.001938 ,      0.005697 ,      0.002001 ,      0.006164 ,           0.000064 ,           0.000467
       MIRIM_MASKLYOT ,      0.002282 ,      0.008081 ,      0.001771 ,      0.004501 ,          -0.000511 ,          -0.003579
          MIRIM_TAMRS ,      0.000547 ,      0.001681 ,      0.000818 ,      0.001184 ,           0.000271 ,          -0.000497
          MIRIM_TALRS ,      0.000143 ,      0.001343 ,      0.000306 ,      0.000508 ,           0.000162 ,          -0.000835
        MIRIM_TABLOCK ,      0.000162 ,      0.001554 ,      0.000266 ,      0.000471 ,           0.000105 ,          -0.001083
      MIRIM_TALYOT_UL ,      0.000523 ,      0.000219 ,      0.000703 ,      0.000840 ,           0.000180 ,           0.000621
      MIRIM_TALYOT_UR ,      0.000604 ,      0.000599 ,      0.000104 ,      0.001304 ,          -0.000501 ,           0.000705
      MIRIM_TALYOT_LL ,      0.000245 ,      0.001571 ,      0.000058 ,      0.000814 ,          -0.000187 ,          -0.000757
