Reference:  277 apertures in cdp7b (index 0 in table below)
Comparison: 277 apertures in pre_delivery (index 1 in table below)

             AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
       MIRIM_FULL_OSS ,      0.008508 ,      0.001602 ,      0.003314 ,      0.016372 ,          -0.005195 ,           0.014771
           MIRIM_FULL ,      0.008508 ,      0.001602 ,      0.003314 ,      0.016372 ,          -0.005195 ,           0.014771
          MIRIM_ILLUM ,      0.056279 ,      0.007422 ,      0.005458 ,      0.019788 ,          -0.050821 ,           0.012367
      MIRIM_BRIGHTSKY ,      0.101275 ,      0.013852 ,      0.007763 ,      0.037712 ,          -0.093512 ,           0.023860
         MIRIM_SUB256 ,      0.078155 ,      0.010549 ,      0.006171 ,      0.033815 ,          -0.071984 ,           0.023266
         MIRIM_SUB128 ,      0.120462 ,      0.051262 ,      0.050382 ,      1.177538 ,          -0.070080 ,           1.126276
          MIRIM_SUB64 ,      0.085316 ,      0.036160 ,      0.033152 ,      0.708762 ,          -0.052164 ,           0.672603
  MIRIM_SLITLESSPRISM ,      0.038930 ,      0.014249 ,      0.011112 ,      0.199343 ,          -0.027818 ,           0.185094
  MIRIM_SLITLESSUPPER ,      0.075586 ,      0.032085 ,      0.029273 ,      0.616883 ,          -0.046313 ,           0.584798
  MIRIM_SLITLESSLOWER ,      0.037804 ,      0.014078 ,      0.011165 ,      0.199394 ,          -0.026639 ,           0.185316
       MIRIM_MASK1065 ,      0.009017 ,      0.001777 ,      0.002649 ,      0.013155 ,          -0.006368 ,           0.011378
       MIRIM_MASK1140 ,      0.013182 ,      0.003765 ,      0.004251 ,      0.033010 ,          -0.008932 ,           0.029246
       MIRIM_MASK1550 ,      0.027834 ,      0.009880 ,      0.007897 ,      0.130722 ,          -0.019937 ,           0.120842
       MIRIM_MASKLYOT ,      0.068513 ,      0.028102 ,      0.025288 ,      0.531949 ,          -0.043225 ,           0.503847
          MIRIM_TAMRS ,      1.450849 ,      0.495057 ,      0.467748 ,      2.527297 ,          -0.983101 ,           2.032240
          MIRIM_TALRS ,      0.064424 ,      0.016797 ,      0.007672 ,      0.051941 ,          -0.056752 ,           0.035144
        MIRIM_TABLOCK ,      0.029463 ,      0.016116 ,      0.009226 ,      0.095698 ,          -0.020237 ,           0.079582
      MIRIM_TALYOT_UL ,      0.107771 ,      0.047481 ,      0.058441 ,      1.357785 ,          -0.049330 ,           1.310304
      MIRIM_TALYOT_UR ,      0.075041 ,      0.038296 ,      0.063203 ,      1.373826 ,          -0.011838 ,           1.335530
      MIRIM_TALYOT_LL ,      0.069419 ,      0.031939 ,      0.035292 ,      0.719135 ,          -0.034127 ,           0.687196
      MIRIM_TALYOT_LR ,      0.052573 ,      0.033015 ,      0.043627 ,      0.711248 ,          -0.008946 ,           0.678232
     MIRIM_TALYOT_CUL ,      0.077251 ,      0.037067 ,      0.058020 ,      1.241715 ,          -0.019230 ,           1.204648
     MIRIM_TALYOT_CUR ,      0.071715 ,      0.036921 ,      0.060231 ,      1.247026 ,          -0.011484 ,           1.210106
     MIRIM_TALYOT_CLL ,      0.067654 ,      0.034053 ,      0.050388 ,      1.002844 ,          -0.017266 ,           0.968791
     MIRIM_TALYOT_CLR ,      0.063510 ,      0.035443 ,      0.053470 ,      1.006045 ,          -0.010039 ,           0.970602
      MIRIM_TA1550_UL ,      0.037760 ,      0.016969 ,      0.015905 ,      0.296863 ,          -0.021855 ,           0.279895
      MIRIM_TA1550_UR ,      0.029311 ,      0.018652 ,      0.019700 ,      0.278912 ,          -0.009612 ,           0.260260
      MIRIM_TA1550_LL ,      0.024790 ,      0.010487 ,      0.008567 ,      0.156829 ,          -0.016223 ,           0.146341
      MIRIM_TA1550_LR ,      0.020505 ,      0.012589 ,      0.010533 ,      0.149988 ,          -0.009971 ,           0.137400
     MIRIM_TA1550_CUL ,      0.028405 ,      0.015724 ,      0.016171 ,      0.261882 ,          -0.012234 ,           0.246158
     MIRIM_TA1550_CUR ,      0.027804 ,      0.016653 ,      0.016904 ,      0.255965 ,          -0.010900 ,           0.239312
     MIRIM_TA1550_CLL ,      0.025826 ,      0.014106 ,      0.013705 ,      0.224017 ,          -0.012120 ,           0.209911
     MIRIM_TA1550_CLR ,      0.025377 ,      0.015182 ,      0.014506 ,      0.219926 ,          -0.010871 ,           0.204744
      MIRIM_TA1140_UL ,      0.015790 ,      0.006569 ,      0.005681 ,      0.080381 ,          -0.010110 ,           0.073812
      MIRIM_TA1140_UR ,      0.015138 ,      0.008454 ,      0.006398 ,      0.078926 ,          -0.008740 ,           0.070472
      MIRIM_TA1140_LL ,      0.010369 ,      0.004455 ,      0.004299 ,      0.038406 ,          -0.006070 ,           0.033951
      MIRIM_TA1140_LR ,      0.011871 ,      0.005067 ,      0.004713 ,      0.041693 ,          -0.007158 ,           0.036626
     MIRIM_TA1140_CUL ,      0.013461 ,      0.006558 ,      0.005793 ,      0.072903 ,          -0.007668 ,           0.066345
     MIRIM_TA1140_CUR ,      0.014177 ,      0.007402 ,      0.006022 ,      0.072875 ,          -0.008155 ,           0.065473
     MIRIM_TA1140_CLL ,      0.012192 ,      0.005757 ,      0.005292 ,      0.060925 ,          -0.006900 ,           0.055168
     MIRIM_TA1140_CLR ,      0.013024 ,      0.006388 ,      0.005452 ,      0.060985 ,          -0.007572 ,           0.054597
      MIRIM_TA1065_UL ,      0.008410 ,      0.002978 ,      0.003034 ,      0.017083 ,          -0.005376 ,           0.014105
      MIRIM_TA1065_UR ,      0.011829 ,      0.003201 ,      0.003381 ,      0.019896 ,          -0.008449 ,           0.016694
