# MIRI aperture definition file for SIAF
# 
# This file contains all the necessary aperture information to generate the full SIAF given the necessary reference files (focal plane alignment, distortion) and auxiliary information (DDC mapping, wedge offsets, ...)
# This file also defines the order in which the apertures are presented.
# 
# Originally based on PRDOPSSOC-H-014.
# 
# Generated 2018-04-11T00:55:34.126 utc
# jsahlmann@nereus.local.stsci.edu
# 
             AperName , AperType , XDetRef , YDetRef , XSciSize , YSciSize , XSciRef , YSciRef , parent_apertures , dependency_type
       MIRIM_FULL_OSS ,      OSS ,   693.5 ,   512.5 ,     1032 ,     1024 ,   693.5 ,   512.5 ,             None ,            None
           MIRIM_FULL ,  FULLSCA ,   693.5 ,   512.5 ,     1032 ,     1024 ,   693.5 ,   512.5 ,             None ,            None
          MIRIM_ILLUM ,      ROI ,   693.5 ,   512.5 ,      668 ,     1024 ,   334.5 ,   512.5 ,             None ,            None
      MIRIM_BRIGHTSKY , SUBARRAY ,   712.5 ,   306.5 ,      512 ,      512 ,   256.5 ,   256.5 ,             None ,            None
         MIRIM_SUB256 , SUBARRAY ,   540.5 ,   178.5 ,      256 ,      256 ,   128.5 ,   128.5 ,             None ,            None
         MIRIM_SUB128 , SUBARRAY ,    70.5 ,   952.5 ,      136 ,      128 ,    70.5 ,    64.5 ,             None ,            None
          MIRIM_SUB64 , SUBARRAY ,    38.5 ,   810.5 ,       72 ,       64 ,    38.5 ,    32.5 ,             None ,            None
  MIRIM_SLITLESSPRISM , SUBARRAY ,    38.5 ,   829.0 ,       72 ,      416 ,    38.5 ,   301.0 ,             None ,            None
  MIRIM_SLITLESSUPPER ,      ROI ,    38.5 ,   829.0 ,       64 ,      196 ,    33.5 ,    81.0 ,             None ,            None
  MIRIM_SLITLESSLOWER ,      ROI ,    38.5 ,   829.0 ,       64 ,      156 ,    33.5 ,   301.0 ,             None ,            None
       MIRIM_MASK1065 , SUBARRAY ,   120.0 ,   132.0 ,      288 ,      224 ,   120.0 ,   114.0 ,             None ,            None
       MIRIM_MASK1140 , SUBARRAY ,   119.5 ,   354.5 ,      288 ,      224 ,   119.5 ,   110.5 ,             None ,            None
